Name,Description,Assignee,Department,System,Duration,Cost_KRW,Cost_USD,Headcount,Annual_Count,FTE,URL,URL_Label,Next
채용 요청 등록,,,,그룹웨어,4,,,,,,,,채용 요청 승인
채용 요청 승인,,,,그룹웨어,8,,,,,,,,채용 공고 작성:승인;채용 요청 반려:반려
채용 요청 반려,,,,,,,,,,,,,
채용 공고 작성,,,,,8,,,,,,,,채용 공고 게시
채용 공고 게시,,,,채용시스템,4,300000,,,,,https://careers.example.com,,지원서 접수
지원서 접수,,,,채용시스템,112,,,,,,,,서류 전형
서류 전형,,,,채용시스템,24,,,,,,,,코딩 테스트 안내:기술 직군;1차 면접 일정 조율:비기술 직군;서류 불합격 통보:불합격
서류 불합격 통보,,,,채용시스템,,,,,,,,,
코딩 테스트 안내,,,,,4,,,,,,,,코딩 테스트 실시
코딩 테스트 실시,,,,코딩테스트 플랫폼,24,150000,,,,,https://coding.example.com,,1차 면접 일정 조율:합격;테스트 불합격 통보:불합격
테스트 불합격 통보,,,,채용시스템,,,,,,,,,
1차 면접 일정 조율,,,,,16,,,,,,,,1차 면접 실시
1차 면접 실시,,,,,4,,,,,,,,1차 면접 평가
1차 면접 평가,,,,채용시스템,8,,,,,,,,2차 면접 일정 조율:합격;1차 불합격 통보:불합격;추가 면접 검토:보류
추가 면접 검토,,,,,8,,,,,,,,2차 면접 일정 조율:추가 검증 진행;1차 불합격 통보:탈락 확정
1차 불합격 통보,,,,채용시스템,,,,,,,,,
2차 면접 일정 조율,,,,,16,,,,,,,,2차 면접 실시
2차 면접 실시,,,,,4,,,,,,,,2차 면접 평가
2차 면접 평가,,,,채용시스템,8,,,,,,,,평판 조회:합격;2차 불합격 통보:불합격
2차 불합격 통보,,,,채용시스템,,,,,,,,,
평판 조회,,,,외부 조회 대행,40,,200,,,,,,처우 협상:이상 없음;채용 보류 검토:이슈 발견
채용 보류 검토,,,,,16,,,,,,,,처우 협상:리스크 수용;최종 탈락 통보:채용 중단
최종 탈락 통보,,,,채용시스템,,,,,,,,,
처우 협상,,,,,24,,,,,,,,오퍼 레터 발송:합의;처우 재검토:재협상 요청;협상 결렬 처리:결렬
처우 재검토,,,,인사시스템,16,,,,,,,,처우 협상
협상 결렬 처리,,,,채용시스템,,,,,,,,,
오퍼 레터 발송,,,,인사시스템,4,,,,,,,,입사 수락 확인
입사 수락 확인,,,,,24,,,,,,,,입사 준비 안내:수락;협상 결렬 처리:거절
입사 준비 안내,,,,인사시스템,8,,,,,,,,계정 및 장비 신청
계정 및 장비 신청,,,,IT포털,16,,,,,,https://it.example.com/onboarding,,입사 처리 완료
입사 처리 완료,,,,인사시스템,4,,,,,,,,
